Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
4.934,0.0,0.0,0.0,0.05200000000000049,0.0,0.0,0.0,0.0,0.0,0.0
4.936,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
4.937,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.983,0.0,0.0,0.0,0.045999999999999375,0.0,0.0,0.0,0.0,0.0,0.0
4.984,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
4.985,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.033,0.0,0.0,0.0,0.04800000000000004,0.0,0.0,0.0,0.0,0.0,0.0
5.034,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.136,0.0,0.0,0.0,0.10200000000000031,0.0,0.0,0.0,0.0,0.0,0.0
5.137,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.138,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.139,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.14,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.193,0.0,0.0,0.0,0.052999999999999936,0.0,0.0,0.0,0.0,0.0,0.0
5.195,0.0,0.0,0.0,0.002000000000000668,0.0,0.0,0.0,0.0,0.0,0.0
5.196,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.341,0.0,0.0,0.0,0.14500000000000046,0.0,0.0,0.0,0.0,0.0,0.0
5.342,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.345,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
5.346,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.347,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.349,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
5.35,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.392,0.0,0.0,0.0,0.0420000000000007,0.0,0.0,0.0,0.0,0.0,0.0
5.394,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
5.395,0.0,0.0,0.0,0.0009999999999994458,0.0,0.0,0.0,0.0,0.0,0.0
5.436,0.0,0.0,0.0,0.04100000000000037,0.0,0.0,0.0,0.0,0.0,0.0
5.437,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
5.491,0.0,0.0,0.0,0.05399999999999938,0.0,0.0,0.0,0.0,0.0,0.0
